topic,topic_slug,covers,prompts,score,generated_at,run_id
Southprobe 1784216782422 0,southprobe-1784216782422-0,Scope for probe 0,"what is southprobe 0
how does probe 0 work",95,2026-07-16T15:46:59.246263+00:00,96bfc86cdf154130b022d77b7fa171f7
Southprobe 1784216782422 1,southprobe-1784216782422-1,Scope for probe 1,"what is southprobe 1
how does probe 1 work",97,2026-07-16T15:47:03.027624+00:00,96bfc86cdf154130b022d77b7fa171f7
Sheetsouth 1784216881185 0,sheetsouth-1784216881185-0,Scope for probe 0,"what is sheetsouth 0
how does probe 0 work",96,2026-07-16T15:48:32.382943+00:00,c08f41c9daf544dc890ae516f94aa9e6
Sheetsouth 1784216881185 1,sheetsouth-1784216881185-1,Scope for probe 1,"what is sheetsouth 1
how does probe 1 work",97,2026-07-16T15:48:36.911007+00:00,c08f41c9daf544dc890ae516f94aa9e6
Qsouth 1784216953795 1,qsouth-1784216953795-1,Scope for probe 1,"what is qsouth 1
how does probe 1 work",98,2026-07-16T15:49:34.851465+00:00,b1de60e6d30c40b090e713ef3a44d10c
Qsouth 1784216953795 0,qsouth-1784216953795-0,Scope for probe 0,"what is qsouth 0
how does probe 0 work",96,2026-07-16T15:49:35.898543+00:00,b1de60e6d30c40b090e713ef3a44d10c
Q2south 1784216983365 1,q2south-1784216983365-1,Scope for probe 1,"what is q2south 1
how does probe 1 work",95,2026-07-16T15:50:01.273567+00:00,26aa22881b8f4b38b42feef3c36b92e7
Q2south 1784216983365 0,q2south-1784216983365-0,Scope for probe 0,"what is q2south 0
how does probe 0 work",98,2026-07-16T15:50:02.239841+00:00,26aa22881b8f4b38b42feef3c36b92e7
Q3south 1784217041479 1,q3south-1784217041479-1,Scope for probe 1,"what is q3south 1
how does probe 1 work",96,2026-07-16T15:50:59.383530+00:00,a05b246b22ec490cb5b73b7bfd217860
Q3south 1784217041479 0,q3south-1784217041479-0,Scope for probe 0,"what is q3south 0
how does probe 0 work",98,2026-07-16T15:51:02.159575+00:00,a05b246b22ec490cb5b73b7bfd217860
